model_id,model_design,seed,constant_alpha,constant_IFR,constant_R0,double_IFR_0,half_alpha_0,half_R0_0,half_S_0,max_t,use_seroprev,use_tests
128,32,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,TRUE
129,33,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,TRUE
130,33,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,TRUE
131,33,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,TRUE
132,33,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,TRUE
133,34,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,TRUE
134,34,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,TRUE
135,34,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,TRUE
136,34,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,TRUE
137,35,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,TRUE
138,35,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,TRUE
139,35,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,TRUE
140,35,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,TRUE
141,36,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,TRUE
142,36,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,TRUE
143,36,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,TRUE
144,36,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,TRUE
145,37,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE
146,37,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE
147,37,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE
148,37,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE
149,38,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,TRUE
150,38,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,TRUE
151,38,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,TRUE
152,38,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,TRUE
153,39,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,TRUE
154,39,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,TRUE
155,39,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,TRUE
